"parameter","mean","sd","q2.5","q50","q97.5","Rhat","n.eff"
"lambda.tot[5]",0.999700750604148,0.0103524661102523,0.979454432727123,0.99955650093533,1.02025420515401,1.00520838014476,423
"lambda.tot[6]",1.00051975744245,0.0101433425472812,0.980724392576769,1.00036640492208,1.02063070328745,1.00515721432076,408
"lambda.tot[7]",1.00132096077338,0.00997158753236194,0.982031304231991,1.00113142371599,1.02132159591546,1.00526470855616,388
"lambda.tot[8]",1.00210354584669,0.00983655826630819,0.983087696671135,1.00188865810469,1.02202374094303,1.00553680287013,363
"lambda.tot[9]",1.0028667986006,0.00973698393309921,0.98398601633951,1.00263273700855,1.0227292910807,1.00597629217221,334
"lambda.tot[10]",1.00361011340516,0.0096710277082301,0.984789649127717,1.00336834770028,1.02338536146115,1.00658285353502,305
"lambda.tot[11]",1.0043329967583,0.00963637769182977,0.985515022786449,1.00408961174176,1.02402020270145,1.00735331054261,275
"lambda.tot[12]",1.00503506773201,0.00963035787399945,0.986329613403276,1.00480681339921,1.02468937505264,1.00828206609784,248
"lambda.tot[13]",1.00571605583787,0.00965004835291031,0.986917807790891,1.00550037608086,1.0254959655481,1.00936162380681,222
"lambda.tot[14]",1.00637579690689,0.00969240409480587,0.987559018428569,1.00620351993764,1.02627130326348,1.01058312559726,199
"lambda.tot[15]",1.00701422746303,0.00975436327315802,0.98823499404291,1.00682947658149,1.02697102979256,1.01193685147062,179
"deviance",11185.3013540742,55.1230433734651,11079.9831855939,11184.4737622876,11295.9254245231,1.00024358448143,6561
